,unified_id,zipcode,street_name,city,bedrooms,bathrooms,guests,hot_tub,pool
0,AIR10052559,92315,Heavenly Valley Road,Big Bear Lake,3,3,8,True,False
1,AIR10178668,92315,Round Drive,Big Bear Lake,3,3,7,False,False
2,AIR10211700,92315,,Big Bear Lake,5,2,12,False,False
3,AIR10344705,92314,,Big Bear City,3,1,5,False,False
4,AIR10424683,92315,Starvation Flats Road,Big Bear Lake,3,2,8,False,True
5,AIR10471190,92314,Spruce Lane,Big Bear City,3,2,8,True,False
6,AIR10551482,92314,La Crescenta Drive,Big Bear City,5,4,15,True,False
7,AIR11209785,92314,,Big Bear City,3,2,8,True,False
8,AIR11458668,92315,Waynoka Lane,Big Bear Lake,3,2,8,False,False
9,AIR11529774,92284,Carmelita Way,Yucca Valley,4,4,10,True,False
10,AIR11623857,92315,Starvation Flats Road,Big Bear Lake,3,2,8,True,True
11,AIR11654882,92314,Fenway Drive,Big Bear City,3,3,8,True,False
12,AIR11692683,92314,Mullins Drive,Big Bear City,5,3,10,True,False
13,AIR11735648,92315,Summit Boulevard,Big Bear Lake,3,2,8,False,False
14,AIR11785147,92315,Starvation Flats Road,Big Bear Lake,3,2,8,True,True
15,AIR11799363,92315,,Big Bear Lake,3,2,5,False,False
16,AIR11921717,92315,Eureka Drive,Big Bear Lake,3,3,10,True,False
17,AIR119838,92252,Mountain View Circle,Joshua Tree,3,3,10,False,True
18,AIR12246386,92315,Silver Tip Drive,Big Bear Lake,3,3,10,True,False
19,AIR12325663,92252,Navajo Trail,Joshua Tree,3,3,6,True,False
20,AIR1243216,92252,Saddleback Road,Joshua Tree,3,2,8,True,False
21,AIR12466059,92315,Yosemite Drive,Big Bear Lake,4,3,9,False,False
22,AIR12495850,92315,,Big Bear Lake,3,2,7,False,False
23,AIR12520281,92315,Deer Run Court,Big Bear Lake,3,3,8,False,False
24,AIR12647814,92284,,Yucca Valley,3,3,6,True,True
25,AIR12651776,92314,,Big Bear City,4,2,12,False,False
26,AIR12826044,92314,East Aeroplane Boulevard,Big Bear City,3,2,10,False,False
27,AIR12833882,92315,Siskiyou Drive,Big Bear Lake,3,2,8,False,False
28,AIR12904929,92315,Jeffries Road,Big Bear Lake,3,2,7,True,False
29,AIR12942776,92252,Sunburst Drive,Joshua Tree,3,2,5,False,False
30,AIR13060219,92252,Foothill Drive,Joshua Tree,3,1,9,True,True
31,AIR13126924,92315,Canvasback Road,Big Bear Lake,3,2,8,False,False
32,AIR13167327,92315,Menlo Drive,Big Bear Lake,5,3,15,True,False
33,AIR13274494,92252,,Joshua Tree,3,1,6,True,True
34,AIR13634652,92315,Starvation Flats Road,Big Bear Lake,5,5,14,True,False
35,AIR13639669,92315,Siskiyou Drive,Big Bear Lake,3,2,8,False,False
36,AIR13686367,92314,Antelope Mountain Drive,Big Bear City,4,3,8,True,False
37,AIR13687864,92314,Green Oaks Court,Big Bear City,3,2,8,True,False
38,AIR13696080,92315,Round Drive,Big Bear Lake,3,2,8,False,False
39,AIR13716929,92315,Temple Lane,Big Bear Lake,3,2,10,False,False
40,AIR13724939,92315,Marin Road,Big Bear Lake,5,4,14,False,False
41,AIR13746160,92315,Eagle Drive,Big Bear Lake,4,3,14,True,False
42,AIR13801200,92315,Wren Drive,Big Bear Lake,3,2,7,False,False
43,AIR13829324,92315,Tahoe Drive,Big Bear Lake,3,2,8,False,False
44,AIR13996202,92315,Blue Jay Road,Big Bear Lake,3,2,7,False,False
45,AIR14089677,92315,Tehama Drive,Big Bear Lake,3,2,7,True,False
46,AIR14124182,92315,,Big Bear Lake,3,1,6,False,False
47,AIR14124206,92315,,Big Bear Lake,3,2,9,False,False
48,AIR14124266,92314,Villa Grove Avenue,Big Bear City,3,2,10,False,False
49,AIR14124584,92315,Stony Creek Road,Big Bear Lake,3,3,8,False,False
50,AIR1428379,92315,Saint Moritz Drive,Big Bear Lake,4,2,8,False,False
51,AIR14335230,92314,La Crescenta Drive,Big Bear City,3,3,10,True,False
52,AIR14342504,92314,Sunset Lane,Big Bear City,3,2,6,True,False
53,AIR14467679,92315,San Pasqual Drive,Big Bear Lake,4,2,8,False,False
54,AIR14469396,92314,West Rainbow Boulevard,Big Bear City,3,2,10,False,False
55,AIR14480012,92315,Park Avenue,Big Bear Lake,3,2,8,True,False
56,AIR14480136,92315,,Big Bear Lake,3,2,8,False,False
57,AIR14480143,92314,Angels Camp Road,Big Bear City,3,2,8,False,False
58,AIR14529233,92315,Temple Lane,Big Bear Lake,3,2,6,False,False
59,AIR14759123,92314,Cedar Mountain Road,Big Bear City,5,3,15,True,False
60,AIR14771743,92315,Lassen Drive,Big Bear Lake,4,2,8,False,False
61,AIR14786504,92315,Thrush Court,Big Bear Lake,4,4,13,False,False
62,AIR1484195,92315,,Big Bear Lake,4,4,10,True,False
63,AIR14948466,92315,,Big Bear Lake,3,2,14,True,False
64,AIR14961212,92314,Klamath Road,Big Bear City,4,3,12,False,False
65,AIR14983336,92252,Sunset Road,Joshua Tree,3,2,8,True,False
66,AIR14992690,92315,Forest Road,Big Bear Lake,3,3,10,True,False
67,AIR14994173,92315,Edgemoor Road,Big Bear Lake,5,4,10,False,False
68,AIR15056526,92315,Saint Moritz Drive,Big Bear Lake,3,2,8,False,False
69,AIR15073367,92252,,Joshua Tree,3,3,4,True,False
70,AIR15085009,92315,Chipmunk Lane,Big Bear Lake,3,3,10,False,False
71,AIR15165066,92315,,Big Bear Lake,3,2,6,False,False
72,AIR15225059,92252,Wilton Road,Joshua Tree,4,3,8,True,False
73,AIR1526344,92284,Kismet Road,Yucca Valley,3,2,7,True,False
74,AIR15436072,92314,La Crescenta Drive,Big Bear City,3,2,10,False,False
75,AIR15453260,92315,,Big Bear Lake,3,2,10,False,False
76,AIR15484066,92284,Surrey Avenue,Yucca Valley,4,2,12,True,True
77,AIR15498520,92315,Starvation Flats Road,Big Bear Lake,3,2,8,True,True
78,AIR15512762,92315,Guinan Lane,Big Bear Lake,4,2,10,True,False
79,AIR15564286,92315,Willow Landing Road,Big Bear Lake,3,3,8,True,False
80,AIR15598354,92315,Crestwood Drive,Big Bear Lake,3,3,10,True,False
81,AIR15616221,92252,,Joshua Tree,3,1,6,False,False
82,AIR15630911,92315,Mapleleaf Drive,Big Bear Lake,4,4,9,True,False
83,AIR15634146,92315,Switzerland Drive,Big Bear Lake,3,2,8,False,False
84,AIR15707836,92315,,Big Bear Lake,3,2,8,True,False
85,AIR15735291,92252,,Joshua Tree,4,2,9,True,True
86,AIR15754153,92315,Willow Landing Road,Big Bear Lake,4,3,11,False,False
87,AIR15758715,92315,Sunset Drive,Big Bear Lake,3,2,8,False,False
88,AIR15905180,92315,,Big Bear Lake,5,4,15,True,False
89,AIR15938411,92315,,Big Bear Lake,3,3,10,True,False
90,AIR15964091,92284,,Yucca Valley,3,2,6,True,False
91,AIR15970296,92314,,Big Bear City,3,2,10,False,False
92,AIR16015622,92315,,Big Bear Lake,4,3,11,True,False
93,AIR16016794,92315,,Big Bear Lake,3,3,8,True,False
94,AIR16037507,92315,,Big Bear Lake,4,2,10,True,False
95,AIR16039149,92315,,Big Bear Lake,4,3,10,True,False
96,AIR16050122,92314,,Big Bear City,3,2,8,False,False
97,AIR16070480,92315,,Big Bear Lake,3,2,10,False,False
98,AIR16083055,92315,,Big Bear Lake,3,2,8,False,False
99,AIR16088349,92315,,Big Bear Lake,3,3,8,True,False
100,AIR16174471,92315,,Big Bear Lake,3,2,8,False,False
101,AIR16221165,92314,,Big Bear City,3,3,7,True,False
102,AIR16231405,92314,,Big Bear City,4,3,15,True,False
103,AIR162404,92314,Eagle Mountain Drive,Big Bear City,3,2,15,False,False
104,AIR16245792,92315,,Big Bear Lake,3,2,10,False,False
105,AIR16259330,92315,,Big Bear Lake,3,2,6,False,False
106,AIR16288265,92284,,Yucca Valley,3,2,6,False,False
107,AIR16304086,92314,,Big Bear City,3,3,7,False,False
108,AIR16312572,92314,,Big Bear City,3,2,10,True,False
109,AIR16323226,92315,,Big Bear Lake,3,2,8,False,False
110,AIR16334878,92315,,Big Bear Lake,4,3,11,False,False
111,AIR16367671,92314,,Big Bear City,3,1,6,False,False
112,AIR16428200,92314,,Big Bear City,4,4,13,True,True
113,AIR16440183,92314,,Big Bear City,3,2,8,True,False
