unified_id,year,month,revenue
AIR10000347,2023,8,2700
AIR10000347,2023,7,13950
AIR10000347,2023,6,13500
AIR10000347,2023,5,13950
AIR10000347,2023,4,13500
AIR10000347,2023,3,13950
AIR10000347,2023,2,12600
AIR10000347,2023,1,13950
AIR10000347,2022,12,13950
AIR10000347,2022,11,13500
AIR10000347,2022,10,13950
AIR10000347,2022,9,13500
AIR10000347,2022,8,1350
AIR10000347,2022,7,0
AIR10000347,2022,6,0
AIR10000347,2022,5,0
AIR10000347,2022,4,0
AIR10000347,2022,3,5400
AIR10000347,2022,2,9450
AIR10000347,2022,1,13950
AIR10000347,2021,12,13950
AIR10000347,2021,11,13500
AIR10000347,2021,10,13950
AIR10000347,2021,9,13500
AIR10000347,2021,8,0
AIR10000347,2021,7,12600
AIR10000347,2021,4,0
AIR10000347,2021,3,0
AIR10000347,2021,2,450
AIR10000347,2021,1,899
AIR10000347,2020,12,4949
AIR10000347,2020,11,0
AIR10000347,2020,10,449
AIR10000347,2020,9,449
AIR10000347,2020,8,899
AIR10000347,2020,7,6749
AIR10000347,2020,6,11248
AIR10000347,2020,5,0
AIR10000347,2020,4,0
AIR10000347,2020,3,899
AIR10000347,2020,2,0
AIR10000347,2020,1,13948
AIR10035983,2020,4,0
AIR10035983,2020,3,9483
AIR10035983,2020,2,8499
AIR10035983,2020,1,9353
AIR10052559,2023,12,24628
AIR10052559,2023,11,22850
AIR10052559,2023,10,21955
AIR10052559,2023,9,12120
AIR10052559,2023,8,0
AIR10052559,2023,7,0
AIR10052559,2023,6,21755
AIR10052559,2023,5,13510
AIR10052559,2023,4,0
AIR10052559,2023,3,2285
AIR10052559,2023,2,4770
AIR10052559,2023,1,10913
AIR10052559,2022,12,13830
AIR10052559,2022,11,2775
AIR10052559,2022,10,1770
AIR10052559,2022,9,0
AIR10052559,2022,8,775
AIR10052559,2022,7,28645
AIR10052559,2022,6,11280
AIR10052559,2022,5,0
AIR10052559,2022,4,0
AIR10052559,2022,3,5573
AIR10052559,2022,2,15757
AIR10052559,2022,1,13785
AIR10052559,2021,12,16185
AIR10052559,2021,11,13622
AIR10052559,2021,10,20959
AIR10052559,2021,9,19678
AIR10052559,2021,8,20353
AIR10052559,2021,7,20353
AIR10052559,2021,5,0
AIR10052559,2021,4,0
AIR10052559,2021,3,299
AIR10052559,2021,2,6000
AIR10052559,2021,1,10055
AIR10052559,2020,12,9445
AIR10052559,2020,11,5104
AIR10052559,2020,10,13858
AIR10052559,2020,9,14848
AIR10052559,2020,8,2474
AIR10052559,2020,7,15343
AIR10052559,2020,6,4454
AIR10052559,2020,5,494
AIR10052559,2020,4,1484
AIR10052559,2020,3,2969
AIR10052559,2020,2,11044
AIR10052559,2020,1,9946
AIR10178668,2023,12,9181
AIR10178668,2023,11,3451
AIR10178668,2023,10,5134
AIR10178668,2023,7,1888
AIR10178668,2023,6,17505
AIR10178668,2023,5,8629
AIR10178668,2023,4,28950
AIR10178668,2023,3,4755
AIR10178668,2023,2,7676
AIR10178668,2023,1,11022
AIR10178668,2022,12,13613
AIR10178668,2022,11,5091
AIR10178668,2022,10,5448
AIR10178668,2022,9,2390
AIR10178668,2022,8,17735
AIR10178668,2022,7,19373
AIR10178668,2022,6,17106
AIR10178668,2022,5,12674
AIR10178668,2022,4,9051
AIR10178668,2022,3,7873
AIR10178668,2022,2,13794
AIR10178668,2022,1,17507
AIR10178668,2021,12,17192
AIR10178668,2021,11,11448
AIR10178668,2021,10,1572
AIR10178668,2021,7,
AIR10178668,2021,3,1299
AIR10178668,2021,2,5676
AIR10178668,2021,1,7633
AIR10178668,2020,12,8894
AIR10178668,2020,11,10969
AIR10178668,2020,10,8373
AIR10178668,2020,9,7036
AIR10178668,2020,8,16258
AIR10178668,2020,7,13178
AIR10178668,2020,6,10731
AIR10178668,2020,5,5011
AIR10178668,2020,4,7040
AIR10178668,2020,3,4714
AIR10178668,2020,2,4589
AIR10178668,2020,1,6027
AIR10204420,2022,3,0
AIR10204420,2022,2,0
AIR10204420,2022,1,0
AIR10204420,2021,12,0
AIR10204420,2021,11,0
AIR10204420,2021,10,1950
AIR10204420,2021,9,1725
AIR10204420,2021,8,4700
AIR10204420,2021,7,5175
AIR10204420,2021,6,7125
AIR10204420,2021,5,7950
AIR10204420,2021,4,6549
AIR10204420,2021,3,11099
AIR10204420,2021,2,9750
AIR10204420,2021,1,7750
AIR10204420,2020,12,11899
AIR10204420,2020,11,11698
AIR10204420,2020,10,11373
AIR10204420,2020,9,12915
AIR10204420,2020,8,11207
AIR10204420,2020,7,11190
AIR10204420,2020,6,10923
AIR10204420,2020,5,11373
AIR10204420,2020,4,14090
AIR10204420,2020,3,12248
AIR10204420,2020,2,8049
AIR10204420,2020,1,6549
AIR10211502,2023,2,0
AIR10211502,2023,1,0
AIR10211502,2022,12,0
AIR10211502,2022,11,0
AIR10211502,2022,10,0
AIR10211502,2022,9,0
AIR10211502,2022,8,356
AIR10211502,2022,7,11349
AIR10211502,2022,6,9742
AIR10211502,2022,5,7329
