ID,Price,Rent Estimate,Bathrooms,Bedrooms,Living Area,Street Name,City,Zip,Pool
JTuph425993,18000000,2435,4,3,5470,Uphill Rd,Joshua Tree,92252,FALSE
JTave861546,399990,1786,2,3,1056,Avenida La Espana Daga,Joshua Tree,92252,FALSE
JTpre541921,575000,2300,2,3,1577,Prescott Trl,Joshua Tree,92252,FALSE
JTana655688,899000,4798,2,3,1434,Anaconda Dr,Joshua Tree,92252,FALSE
JTpet308672,369900,1825,1,3,1040,Petunia Dr,Joshua Tree,92252,FALSE
JTdem785454,520000,2300,2,4,1527,Demesne Rd,Joshua Tree,92252,FALSE
JTcre135579,399000,1897,2,3,1100,Crest Cir,Joshua Tree,92252,FALSE
JTado860581,369000,1914,2,3,1026,Adobe Dr,Joshua Tree,92252,FALSE
JTsun544957,650000,2499,2,3,1488,Sunny Sands Dr,Joshua Tree,92252,FALSE
JTbro626558,399000,1844,2,3,1084,Broadway St,Joshua Tree,92252,FALSE
JTnav668627,350000,2214,2,3,1756,Navajo Trl,Joshua Tree,92252,FALSE
JTave911373,769000,2901,3,4,1871,Avenida Del Sol,Joshua Tree,92252,FALSE
JTcon264004,1200000,4876,3,3,1900,Conejo Ave,Joshua Tree,92252,FALSE
JTave267195,224999,1853,2,3,1120,Avenida La Manana,Joshua Tree,92252,FALSE
JTpol791631,559900,3262,3,3,1949,Polaris Ave,Joshua Tree,92252,FALSE
JTgol251053,1560000,1823,3,3,1538,Gold Nugget Ave,Joshua Tree,92252,FALSE
JTalt902156,489000,2999,3,4,1850,Alta Mura Dr,Joshua Tree,92252,FALSE
JTst 836302,320000,1734,2,3,1112,St S,Joshua Tree,92252,FALSE
JTval534114,691000,2425,2,3,1909,Valley View Cir,Joshua Tree,92252,FALSE
JTnat831360,475000,2268,1,3,1363,Natoma Trl,Joshua Tree,92252,FALSE
JTalt618122,749000,2999,3,3,1957,Alta Loma Dr,Joshua Tree,92252,FALSE
JThig973087,949000,2570,3,3,1600,Highland View Dr,Joshua Tree,92252,FALSE
